#  r/R             c            rho               A1          A2            A3         A4            A5
  1.001107E+00  7.106571E+05  2.662461E-10  9.966870E-01  3.771655E+03  1.626532E+00  2.444491E+03  5.689707E-10
  1.001105E+00  7.106663E+05  2.698695E-10  9.966935E-01  3.771566E+03  1.626880E+00  2.444627E+03  5.767101E-10
  1.001102E+00  7.106755E+05  2.735281E-10  9.967000E-01  3.771476E+03  1.627224E+00  2.444764E+03  5.845246E-10
  1.001100E+00  7.106849E+05  2.772222E-10  9.967064E-01  3.771384E+03  1.627564E+00  2.444901E+03  5.924151E-10
  1.001098E+00  7.106945E+05  2.809523E-10  9.967128E-01  3.771291E+03  1.627899E+00  2.445038E+03  6.003823E-10
  1.001096E+00  7.107043E+05  2.847186E-10  9.967193E-01  3.771195E+03  1.628231E+00  2.445177E+03  6.084267E-10
  1.001094E+00  7.107142E+05  2.885214E-10  9.967256E-01  3.771098E+03  1.628559E+00  2.445317E+03  6.165493E-10
  1.001092E+00  7.107244E+05  2.923612E-10  9.967320E-01  3.770998E+03  1.628883E+00  2.445459E+03  6.247506E-10
  1.001090E+00  7.107348E+05  2.962383E-10  9.967383E-01  3.770895E+03  1.629203E+00  2.445603E+03  6.330316E-10
  1.001087E+00  7.107455E+05  3.001529E-10  9.967447E-01  3.770790E+03  1.629521E+00  2.445750E+03  6.413928E-10
  1.001085E+00  7.107565E+05  3.041056E-10  9.967510E-01  3.770681E+03  1.629836E+00  2.445901E+03  6.498350E-10
  1.001083E+00  7.107678E+05  3.080966E-10  9.967572E-01  3.770569E+03  1.630148E+00  2.446057E+03  6.583591E-10
  1.001081E+00  7.107795E+05  3.121263E-10  9.967635E-01  3.770452E+03  1.630458E+00  2.446217E+03  6.669658E-10
  1.001079E+00  7.107917E+05  3.161949E-10  9.967697E-01  3.770331E+03  1.630766E+00  2.446383E+03  6.756557E-10
  1.001077E+00  7.108040E+05  3.203028E-10  9.967759E-01  3.770208E+03  1.631071E+00  2.446552E+03  6.844292E-10
  1.001075E+00  7.108163E+05  3.244502E-10  9.967821E-01  3.770086E+03  1.631371E+00  2.446718E+03  6.932871E-10
  1.001073E+00  7.108284E+05  3.286374E-10  9.967883E-01  3.769965E+03  1.631667E+00  2.446882E+03  7.022301E-10
  1.001071E+00  7.108404E+05  3.328650E-10  9.967944E-01  3.769845E+03  1.631959E+00  2.447044E+03  7.112591E-10
  1.001069E+00  7.108523E+05  3.371331E-10  9.968006E-01  3.769727E+03  1.632247E+00  2.447204E+03  7.203748E-10
  1.001067E+00  7.108642E+05  3.414423E-10  9.968067E-01  3.769609E+03  1.632531E+00  2.447362E+03  7.295781E-10
  1.001065E+00  7.108759E+05  3.457929E-10  9.968128E-01  3.769492E+03  1.632811E+00  2.447518E+03  7.388697E-10
  1.001063E+00  7.108875E+05  3.501853E-10  9.968188E-01  3.769377E+03  1.633087E+00  2.447672E+03  7.482505E-10
  1.001061E+00  7.108991E+05  3.546198E-10  9.968249E-01  3.769262E+03  1.633359E+00  2.447826E+03  7.577213E-10
  1.001059E+00  7.109105E+05  3.590970E-10  9.968309E-01  3.769148E+03  1.633627E+00  2.447978E+03  7.672830E-10
  1.001057E+00  7.109219E+05  3.636170E-10  9.968369E-01  3.769035E+03  1.633892E+00  2.448128E+03  7.769364E-10
  1.001055E+00  7.109333E+05  3.681805E-10  9.968429E-01  3.768922E+03  1.634154E+00  2.448279E+03  7.866823E-10
  1.001053E+00  7.109446E+05  3.727877E-10  9.968489E-01  3.768809E+03  1.634412E+00  2.448428E+03  7.965217E-10
  1.001051E+00  7.109559E+05  3.774391E-10  9.968549E-01  3.768697E+03  1.634668E+00  2.448578E+03  8.064553E-10
  1.001049E+00  7.109672E+05  3.821351E-10  9.968608E-01  3.768585E+03  1.634920E+00  2.448728E+03  8.164841E-10
  1.001047E+00  7.109785E+05  3.868761E-10  9.968668E-01  3.768472E+03  1.635169E+00  2.448878E+03  8.266090E-10
  1.001045E+00  7.109899E+05  3.916625E-10  9.968727E-01  3.768359E+03  1.635416E+00  2.449029E+03  8.368308E-10
  1.001043E+00  7.110013E+05  3.964947E-10  9.968786E-01  3.768245E+03  1.635660E+00  2.449182E+03  8.471504E-10
  1.001041E+00  7.110129E+05  4.013732E-10  9.968844E-01  3.768130E+03  1.635902E+00  2.449336E+03  8.575688E-10
  1.001039E+00  7.110246E+05  4.062985E-10  9.968903E-01  3.768014E+03  1.636142E+00  2.449493E+03  8.680868E-10
  1.001037E+00  7.110364E+05  4.112708E-10  9.968962E-01  3.767896E+03  1.636380E+00  2.449653E+03  8.787054E-10
  1.001035E+00  7.110485E+05  4.162907E-10  9.969020E-01  3.767775E+03  1.636616E+00  2.449817E+03  8.894256E-10
  1.001033E+00  7.110607E+05  4.213586E-10  9.969078E-01  3.767652E+03  1.636850E+00  2.449984E+03  9.002482E-10
  1.001031E+00  7.110730E+05  4.264750E-10  9.969136E-01  3.767529E+03  1.637083E+00  2.450153E+03  9.111742E-10
  1.001029E+00  7.110850E+05  4.316403E-10  9.969194E-01  3.767410E+03  1.637311E+00  2.450321E+03  9.222046E-10
  1.001027E+00  7.110967E+05  4.368549E-10  9.969252E-01  3.767293E+03  1.637536E+00  2.450486E+03  9.333403E-10
  1.001025E+00  7.111081E+05  4.421194E-10  9.969309E-01  3.767180E+03  1.637756E+00  2.450650E+03  9.445824E-10
  1.001023E+00  7.111192E+05  4.474341E-10  9.969367E-01  3.767069E+03  1.637973E+00  2.450811E+03  9.559318E-10
  1.001021E+00  7.111300E+05  4.527996E-10  9.969424E-01  3.766962E+03  1.638187E+00  2.450971E+03  9.673894E-10
  1.001019E+00  7.111406E+05  4.582163E-10  9.969481E-01  3.766857E+03  1.638397E+00  2.451130E+03  9.789564E-10
  1.001017E+00  7.111510E+05  4.636847E-10  9.969538E-01  3.766755E+03  1.638603E+00  2.451286E+03  9.906336E-10
  1.001016E+00  7.111611E+05  4.692052E-10  9.969595E-01  3.766655E+03  1.638807E+00  2.451442E+03  1.002422E-09
  1.001014E+00  7.111710E+05  4.747784E-10  9.969652E-01  3.766556E+03  1.639007E+00  2.451595E+03  1.014323E-09
  1.001012E+00  7.111808E+05  4.804048E-10  9.969709E-01  3.766460E+03  1.639205E+00  2.451748E+03  1.026337E-09
  1.001010E+00  7.111904E+05  4.860847E-10  9.969765E-01  3.766366E+03  1.639400E+00  2.451900E+03  1.038466E-09
  1.001008E+00  7.111999E+05  4.918188E-10  9.969822E-01  3.766272E+03  1.639592E+00  2.452051E+03  1.050711E-09
  1.001006E+00  7.112093E+05  4.976075E-10  9.969878E-01  3.766180E+03  1.639781E+00  2.452201E+03  1.063071E-09
  1.001004E+00  7.112186E+05  5.034513E-10  9.969934E-01  3.766088E+03  1.639969E+00  2.452351E+03  1.075550E-09
  1.001002E+00  7.112280E+05  5.093508E-10  9.969990E-01  3.765996E+03  1.640154E+00  2.452500E+03  1.088147E-09
  1.001000E+00  7.112373E+05  5.153064E-10  9.970046E-01  3.765904E+03  1.640338E+00  2.452650E+03  1.100864E-09
  1.000999E+00  7.112467E+05  5.213187E-10  9.970102E-01  3.765811E+03  1.640520E+00  2.452799E+03  1.113702E-09
  1.000997E+00  7.112563E+05  5.273882E-10  9.970157E-01  3.765717E+03  1.640701E+00  2.452950E+03  1.126662E-09
  1.000995E+00  7.112659E+05  5.335154E-10  9.970213E-01  3.765622E+03  1.640880E+00  2.453101E+03  1.139745E-09
  1.000993E+00  7.112758E+05  5.397008E-10  9.970268E-01  3.765524E+03  1.641059E+00  2.453254E+03  1.152953E-09
  1.000991E+00  7.112860E+05  5.459450E-10  9.970324E-01  3.765424E+03  1.641237E+00  2.453408E+03  1.166286E-09
  1.000989E+00  7.112964E+05  5.522486E-10  9.970379E-01  3.765320E+03  1.641415E+00  2.453564E+03  1.179745E-09
  1.000987E+00  7.113072E+05  5.586120E-10  9.970434E-01  3.765212E+03  1.641593E+00  2.453723E+03  1.193333E-09
  1.000986E+00  7.113185E+05  5.650359E-10  9.970489E-01  3.765101E+03  1.641771E+00  2.453884E+03  1.207049E-09
  1.000984E+00  7.113297E+05  5.715207E-10  9.970544E-01  3.764988E+03  1.641947E+00  2.454044E+03  1.220896E-09
  1.000982E+00  7.113409E+05  5.780671E-10  9.970598E-01  3.764876E+03  1.642122E+00  2.454202E+03  1.234873E-09
  1.000980E+00  7.113521E+05  5.846756E-10  9.970653E-01  3.764765E+03  1.642294E+00  2.454359E+03  1.248984E-09
  1.000978E+00  7.113633E+05  5.913467E-10  9.970707E-01  3.764654E+03  1.642465E+00  2.454514E+03  1.263228E-09
  1.000977E+00  7.113744E+05  5.980812E-10  9.970762E-01  3.764543E+03  1.642635E+00  2.454667E+03  1.277607E-09
  1.000975E+00  7.113854E+05  6.048794E-10  9.970816E-01  3.764433E+03  1.642802E+00  2.454819E+03  1.292122E-09
  1.000973E+00  7.113964E+05  6.117421E-10  9.970870E-01  3.764324E+03  1.642968E+00  2.454970E+03  1.306775E-09
  1.000971E+00  7.114073E+05  6.186698E-10  9.970925E-01  3.764215E+03  1.643132E+00  2.455118E+03  1.321566E-09
  1.000969E+00  7.114182E+05  6.256631E-10  9.970979E-01  3.764106E+03  1.643294E+00  2.455266E+03  1.336497E-09
  1.000967E+00  7.114291E+05  6.327226E-10  9.971033E-01  3.763998E+03  1.643454E+00  2.455412E+03  1.351570E-09
  1.000966E+00  7.114398E+05  6.398490E-10  9.971086E-01  3.763891E+03  1.643613E+00  2.455557E+03  1.366786E-09
  1.000964E+00  7.114506E+05  6.470428E-10  9.971140E-01  3.763784E+03  1.643770E+00  2.455701E+03  1.382145E-09
  1.000962E+00  7.114613E+05  6.543047E-10  9.971194E-01  3.763678E+03  1.643926E+00  2.455843E+03  1.397649E-09
  1.000960E+00  7.114719E+05  6.616353E-10  9.971247E-01  3.763572E+03  1.644080E+00  2.455985E+03  1.413301E-09
  1.000958E+00  7.114825E+05  6.690352E-10  9.971301E-01  3.763467E+03  1.644232E+00  2.456126E+03  1.429100E-09
  1.000957E+00  7.114930E+05  6.765050E-10  9.971354E-01  3.763362E+03  1.644383E+00  2.456266E+03  1.445048E-09
  1.000955E+00  7.115035E+05  6.840455E-10  9.971407E-01  3.763258E+03  1.644533E+00  2.456405E+03  1.461147E-09
  1.000953E+00  7.115140E+05  6.916572E-10  9.971461E-01  3.763154E+03  1.644681E+00  2.456544E+03  1.477398E-09
