                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20241109"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                                   M_core                                      R_B 
                                       1                                     2059                  1.0000000000000000E+005                  5.0000000000000000E+000                  9.9997243263689017E-001                  3.3298450505024768E+001                 -9.8999999999999986E+001                  1.0007411484049416E-004                  4.9105315361898827E-002                  7.0089035337212316E-003                  1.1342850511359542E-001                  9.5667505361597072E-002                  4.9105315361898827E-002                  7.0089035337212316E-003                  1.1342850511359542E-001                  9.5667505361597072E-002                 -2.1693746734091895E-001                 -4.7459238868211386E+001                 -1.0133777049453792E+001                 -2.1693746728832392E-001                 -2.2543996884031126E-001                 -1.9294193764008418E+000                 -4.7459238868211386E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7510497139643224E+000                 -1.3877050844805855E-001                 -4.8831521288176957E-002                  4.5357306700145719E+000                  0.0000000000000000E+000                  1.7216439300125565E+001                  1.9553999210335817E+000                  7.1278939675689585E+000                  6.1609084974931494E-001                  8.5521122246436310E-001                  1.2833440548031494E+000                  7.1040468881066920E-001                  2.7062265964139570E-001                  9.6476621649998096E-004                  8.6689567475619171E-003                  3.1566155704791459E-003                  8.6615520735228348E-003                  7.1082258506277940E-001                  2.7035886163098688E-001                                        0                                        8                  9.9999999999999991E-005                  1.2643113025051383E-004 
                                       2                                     1840                  2.8000000000000000E+005                  5.2552725051033056E+000                  9.9997243263689017E-001                  3.3298450505024768E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7051924489171848E-001                  2.8949159999365148E-002                  3.9090615991092782E-004                  9.9999999998356237E-001                  9.7051924489171848E-001                  2.8949159999365148E-002                  3.9090615991092782E-004                 -2.1455244259786435E-001                 -4.7438574824001485E+001                 -1.0123863201225040E+001                 -2.1455244254434960E-001                 -2.2299024875951998E-001                 -1.9303192820399597E+000                 -4.7438574824001485E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7505498063253198E+000                 -1.4311295297104404E-001                 -5.0002928271664179E-002                  4.5380734839815462E+000                  0.0000000000000000E+000                  1.7218333018695294E+001                  1.9578322204427452E+000                  7.1276532414937694E+000                  6.1655018719660815E-001                  8.5472450688235024E-001                  1.2845570227571166E+000                  7.0943520012384553E-001                  2.7155963732820487E-001                  9.5171703950655009E-004                  8.6871373902431912E-003                  3.1566208169459984E-003                  8.6615577925608107E-003                  7.1082127168874210E-001                  2.7035978692565688E-001                                        0                                        5                  9.9999999999999991E-005                  1.2643113025051383E-004 
                                       3                                     1758                  6.0400000000000000E+005                  5.5105450102066120E+000                  9.9997243263689017E-001                  3.3298450505024768E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.2894185910586932E-002                  4.1321230064818477E-004                  9.9999999998356237E-001                  9.7012830666827243E-001                  3.2894185910586932E-002                  4.1321230064818477E-004                  9.9999999998356237E-001                  9.7012830666827243E-001                 -2.0959836165634754E-001                 -4.7412115167719719E+001                 -1.0110591265508665E+001                 -2.0959836160179796E-001                 -2.1803060236870234E-001                 -1.9256489759639792E+000                 -4.7412115167719719E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7502262476845400E+000                 -1.4644883002097520E-001                 -5.1023749515070584E-002                  4.5401151264683586E+000                  0.0000000000000000E+000                  1.7222359772576009E+001                  1.9621823901079543E+000                  7.1278555167421640E+000                  6.1735576216796784E-001                  8.5387463364039251E-001                  1.2866837745424904E+000                  7.0773925350771960E-001                  2.7318792138454351E-001                  9.2699496643765299E-004                  8.7194259918615281E-003                  3.1566019956107525E-003                  8.6615088641607066E-003                  7.1081889031446532E-001                  2.7036146870275213E-001                                        0                                        5                  9.9999999999999991E-005                  1.2643113025051383E-004 
                                       4                                     1700                  1.1872000000000000E+006                  5.7658175153099176E+000                  9.9997243263689017E-001                  3.3298450505024768E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.1179749131082513E-002                  5.4109116229345965E-004                  9.9999999998356237E-001                  9.6988827848823023E-001                  3.1179749131082513E-002                  5.4109116229345965E-004                  9.9999999998356237E-001                  9.6988827848823023E-001                 -1.9957064148647824E-001                 -4.7374404648152264E+001                 -1.0091171732668915E+001                 -1.9957064143073616E-001                 -2.0822686590943587E-001                 -1.9043473686268781E+000                 -4.7374404648152264E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7502456315241672E+000                 -1.4757999495498306E-001                 -5.1628099661328294E-002                  4.5413238267608742E+000                  0.0000000000000000E+000                  1.7228851412078420E+001                  1.9691279987459296E+000                  7.1283196649949554E+000                  6.1875509658338990E-001                  8.5240631050668192E-001                  1.2903788696660854E+000                  7.0480620495021817E-001                  2.7599252445908090E-001                  8.8228315623157996E-004                  8.7765859763099512E-003                  3.1565680353649898E-003                  8.6614206080981720E-003                  7.1081456967021717E-001                  2.7036458571219724E-001                                        0                                        5                  9.9999999999999991E-005                  1.2643113025051383E-004 
                                       5                                     1661                  2.2369600000000000E+006                  6.0210900204132241E+000                  9.9997243263689017E-001                  3.3298450505024768E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.6991584862809010E-001                  2.7079074172349393E-002                  6.9991732190890132E-004                  9.9999999998356237E-001                  9.6991584862809010E-001                  2.7079074172349393E-002                  6.9991732190890132E-004                 -1.8368860664357375E-001                 -4.7318730417177946E+001                 -1.0062305344352009E+001                 -1.8368860658613995E-001                 -1.9295884643641437E-001                 -1.8590088247890524E+000                 -4.7318730417177946E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7506922353751082E+000                 -1.4604327392548694E-001                 -5.1752946848463301E-002                  4.5415735211351445E+000                  0.0000000000000000E+000                  1.7233952629643145E+001                  1.9749619214653975E+000                  7.1291808714415463E+000                  6.2109077892059361E-001                  8.4997516721267263E-001                  1.2965508274410709E+000                  6.9994723786803204E-001                  2.8062224120820961E-001                  8.0497614874039381E-004                  8.8758952263482526E-003                  3.1565063387856956E-003                  8.6612601719290080E-003                  7.1080673303185138E-001                  2.7037049829698889E-001                                        0                                        5                  9.9999999999999991E-005                  1.2643113025051383E-004 
                                       6                                     1643                  4.1265280000000000E+006                  6.2763625255165296E+000                  9.9997243263689017E-001                  3.3298450505024768E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7026748616802327E-001                  2.2622787282378709E-002                  8.6576586733546387E-004                  9.9999999998356237E-001                  9.7026748616802327E-001                  2.2622787282378709E-002                  8.6576586733546387E-004                 -1.6637318258614792E-001                 -4.7249813894351782E+001                 -1.0026757124519809E+001                 -1.6637318252625155E-001                 -1.7662031424427863E-001                 -1.7986686694127212E+000                 -4.7249813894351782E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7512896323543536E+000                 -1.4427113165627742E-001                 -5.2061669672348362E-002                  4.5421909667829139E+000                  0.0000000000000000E+000                  1.7238337937036196E+001                  1.9807372004423371E+000                  7.1303476170434799E+000                  6.2479582169597625E-001                  8.4615692006485677E-001                  1.3063791859242264E+000                  6.9231286256748947E-001                  2.8786198274581132E-001                  6.8075561553204418E-004                  9.0449723736660947E-003                  3.1563942742277892E-003                  8.6609669570002351E-003                  7.1079251622240114E-001                  2.7038176557542554E-001                                        0                                        5                  9.9999999999999991E-005                  1.2643113025051383E-004 
                                       7                                     1632                  7.5277504000000004E+006                  6.5316350306198361E+000                  9.9997243263689017E-001                  3.3298450505024768E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7078208265226762E-001                  1.8746674030143740E-002                  1.0575032902145945E-003                  9.9999999998356237E-001                  9.7078208265226762E-001                  1.8746674030143740E-002                  1.0575032902145945E-003                 -1.5483150883228494E-001                 -4.7197101225042246E+001                 -9.9997599129019630E+000                 -1.5483150877021862E-001                 -1.6589175025854541E-001                 -1.7543695975608480E+000                 -4.7197101225042246E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7514911785665404E+000                 -1.4587477774107926E-001                 -5.3266585139123572E-002                  4.5446007977164644E+000                  0.0000000000000000E+000                  1.7240703193077188E+001                  1.9860122790026937E+000                  7.1312209400386024E+000                  6.3026111427032350E-001                  8.4059778466858437E-001                  1.3209900180044405E+000                  6.8119403699887149E-001                  2.9832405664705797E-001                  5.0936920567189571E-004                  9.3258411926151422E-003                  3.1561902518997590E-003                  8.6604330135206277E-003                  7.1076678268661131E-001                  2.7040280372710485E-001                                        0                                        5                  9.9999999999999991E-005                  1.2643113025051383E-004 
                                       8                                     1625                  1.3649950720000001E+007                  6.7869075357231416E+000                  9.9997243263689017E-001                  3.3298450505024768E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7107876330356646E-001                  1.5151400122545788E-002                  1.3266304679118389E-003                  9.9999999998356237E-001                  9.7107876330356646E-001                  1.5151400122545788E-002                  1.3266304679118389E-003                 -1.5095028919983797E-001                 -4.7184510002397111E+001                 -9.9930718606059834E+000                 -1.5095028913736921E-001                 -1.6184795439987010E-001                 -1.7568385779849556E+000                 -4.7184510002397111E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7513109337797421E+000                 -1.4903527166535457E-001                 -5.4486342527665016E-002                  4.5470403124935475E+000                  0.0000000000000000E+000                  1.7241925953743124E+001                  1.9922374349999754E+000                  7.1312666192684988E+000                  6.3761158824005837E-001                  8.3326689170401880E-001                  1.3408328025058927E+000                  6.6652915972995963E-001                  3.1193157523881121E-001                  3.2152783923363956E-004                  9.7809690234526257E-003                  3.1558193464664946E-003                  8.6594659366108495E-003                  7.1072052717065903E-001                  2.7044122669677101E-001                                        0                                        5                  9.9999999999999991E-005                  1.2643113025051383E-004 
                                       9                                     1627                  2.3649950719999999E+007                  7.0000000000000000E+000                  9.9997243263689017E-001                  3.3298450505024768E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7106689911699984E-001                  1.1949201039872293E-002                  1.8696163493543399E-003                  9.9999999998356237E-001                  9.7106689911699984E-001                  1.1949201039872293E-002                  1.8696163493543399E-003                 -1.5011452330956362E-001                 -4.7197083640326717E+001                 -9.9985006153018663E+000                 -1.5011452324798949E-001                 -1.5984416810215291E-001                 -1.8046575892458534E+000                 -4.7197083640326717E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7512199066164307E+000                 -1.4988896688821907E-001                 -5.4731135812474234E-002                  4.5475298990631661E+000                  0.0000000000000000E+000                  1.7243678421704036E+001                  2.0001773960524130E+000                  7.1307226031944193E+000                  6.4594155408750098E-001                  8.2517766309002727E-001                  1.3635594067134686E+000                  6.5034727344554233E-001                  3.2658492044165888E-001                  1.7237795032155889E-004                  1.0443628713314250E-002                  3.1552141114248792E-003                  8.6578924632730279E-003                  7.1064547260566502E-001                  2.7050455125133932E-001                                        0                                        5                  9.9999999999999991E-005                  1.2643113025051383E-004 
