                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.3277054244383490E-004   0.8261791426948448E+003   0.0000000000000000E+000                         0                         0                         5                         5
  0.1261925340271039E-004   0.9737064390145219E+003   0.0000000000000000E+000                         0                         0                         6                         6
  0.5355841246764268E-005   0.1119246870801338E+004   0.0000000000000000E+000                         0                         0                         7                         7
  0.2312471746783647E-005   0.1264904520088467E+004   0.0000000000000000E+000                         0                         0                         8                         8
  0.1027574645935240E-005   0.1409085987764711E+004   0.0000000000000000E+000                         0                         0                         9                         9
  0.4599363449575026E-006   0.1550199039419201E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.2213335582021176E-006   0.1688699481325012E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.1215277684299156E-006   0.1824312893201105E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.7447002455608934E-007   0.1959904031207103E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.4895184920949138E-007   0.2096204854103630E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.3297210798734851E-007   0.2231923462771137E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.2320525658466422E-007   0.2366942067545331E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.1779955840331430E-007   0.2501078671080554E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.1468369541257241E-007   0.2635556840641955E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.1273275925139715E-007   0.2771187010730249E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.1128343150226905E-007   0.2907156429263125E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.1013806676274306E-007   0.3043468192020544E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.9382415044363365E-008   0.3179844560474884E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.8909512595044192E-008   0.3316324400476257E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.8655892344337143E-008   0.3453444830473800E+004   0.0000000000000000E+000                         0                         0                        24                        24
  0.8548177162474335E-008   0.3590791915162035E+004   0.0000000000000000E+000                         0                         0                        25                        25
  0.8504522007963968E-008   0.3728476912755404E+004   0.0000000000000000E+000                         0                         0                        26                        26
  0.8571226929435266E-008   0.3866444144179720E+004   0.0000000000000000E+000                         0                         0                        27                        27
  0.8701825059392438E-008   0.4004431520520953E+004   0.0000000000000000E+000                         0                         0                        28                        28
  0.8912446960972104E-008   0.4142685500529502E+004   0.0000000000000000E+000                         0                         0                        29                        29
  0.9232929620118435E-008   0.4280889014482008E+004   0.0000000000000000E+000                         0                         0                        30                        30
  0.9653850699399653E-008   0.4419093435336398E+004   0.0000000000000000E+000                         0                         0                        31                        31
  0.1106676474694910E+002   0.8188230740322301E+003   0.0000000000000000E+000                         1                        37                         5                       -32
  0.6948467772862332E+001   0.8418336963372294E+003   0.0000000000000000E+000                         1                        36                         5                       -31
  0.1878666859772561E+001   0.8663748398381159E+003   0.0000000000000000E+000                         1                        35                         5                       -30
  0.8529451583173969E+000   0.9209215359387267E+003   0.0000000000000000E+000                         1                        33                         4                       -29
