                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20241109"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                                   M_core                                      R_B 
                                       1                                     1689                  1.0000000000000000E+005                  5.0000000000000000E+000                  9.9997243263689017E-001                  3.3298493894411315E+001                 -9.8999999999999986E+001                  1.6807879988671584E-004                  3.6517581512298114E-002                  1.2881526456761695E-002                  1.0008602678529155E-001                  7.8061965205140124E-002                  3.6517581512298114E-002                  1.2881526456761695E-002                  1.0008602678529155E-001                  7.8061965205140124E-002                 -2.2965972357519929E-001                 -4.7491739277479418E+001                 -1.0145900188943013E+001                 -2.2965972352253164E-001                 -2.3765767139378199E-001                 -1.9684583054080729E+000                 -4.7491739277479418E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7510758533223187E+000                 -1.3823075381239491E-001                 -4.8613922686338268E-002                  4.5352954728108941E+000                  0.0000000000000000E+000                  1.7152306502721704E+001                  1.8939460511940194E+000                  7.1257874246383599E+000                  6.1602181009739410E-001                  8.5528540765429617E-001                  1.2831661321328702E+000                  7.1055353637157637E-001                  2.7046592368548278E-001                  8.1406969471682232E-004                  8.6618670903670630E-003                  3.1572506417536866E-003                  8.6632985853192460E-003                  7.1071698560904106E-001                  2.7055867347040480E-001                                        0                                        7                  9.9999999999999995E-008                  1.2643079731556078E-007 
                                       2                                     1628                  2.8000000000000000E+005                  5.2552725051033056E+000                  9.9997243263689017E-001                  3.3298493894411315E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7067862118622017E-001                  2.8282198795965274E-002                  4.7732689701963562E-007                  9.9999999998356237E-001                  9.7067862118622017E-001                  2.8282198795965274E-002                  4.7732689701963562E-007                 -2.2393167774078040E-001                 -4.7476406004375448E+001                 -1.0138361068237140E+001                 -2.2393167768789268E-001                 -2.3175007263941771E-001                 -1.9725017194965617E+000                 -4.7476406004375448E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7505425896387981E+000                 -1.4284104162044081E-001                 -4.9852539223319711E-002                  4.5377727058848567E+000                  0.0000000000000000E+000                  1.7154305989029549E+001                  1.8956993935215773E+000                  7.1260227042200421E+000                  6.1602777649984963E-001                  8.5527773079265990E-001                  1.2831829014151030E+000                  7.1054097045123754E-001                  2.7048406796141405E-001                  8.0415289842244802E-004                  8.6618956028398624E-003                  3.1572600420435842E-003                  8.6633114606318763E-003                  7.1071566013705090E-001                  2.7055955919016117E-001                                        0                                        5                  9.9999999999999995E-008                  1.2643079731556078E-007 
                                       3                                     1627                  6.0400000000000000E+005                  5.5105450102066120E+000                  9.9997243263689017E-001                  3.3298493894411315E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7022571690034543E-001                  2.8574404396334852E-002                  4.9179293836880778E-007                  9.9999999998356237E-001                  9.7022571690034543E-001                  2.8574404396334852E-002                  4.9179293836880778E-007                 -2.1562649956178984E-001                 -4.7452693072307824E+001                 -1.0126375995563819E+001                 -2.1562649950845209E-001                 -2.2331784380471442E-001                 -1.9712485578467918E+000                 -4.7452693072307824E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7502181621445607E+000                 -1.4622639080915006E-001                 -5.0896358829199628E-002                  4.5398603450966171E+000                  0.0000000000000000E+000                  1.7157394081250917E+001                  1.8984171181428255E+000                  7.1263778804376630E+000                  6.1603959142661613E-001                  8.5526388046596669E-001                  1.2832151271199859E+000                  7.1051614099278948E-001                  2.7051211557006299E-001                  7.8504301918006934E-004                  8.6619449544514376E-003                  3.1572453391452257E-003                  8.6632741294260032E-003                  7.1071326831889425E-001                  2.7056119734549805E-001                                        0                                        5                  9.9999999999999995E-008                  1.2643079731556078E-007 
                                       4                                     1621                  1.1872000000000000E+006                  5.7658175153099176E+000                  9.9997243263689017E-001                  3.3298493894411315E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.6997941083109629E-001                  2.5773434021095165E-002                  5.6387830398564764E-007                  9.9999999998356237E-001                  9.6997941083109629E-001                  2.5773434021095165E-002                  5.6387830398564764E-007                 -2.0228131167482011E-001                 -4.7413591338351409E+001                 -1.0106299637579642E+001                 -2.0228131162064922E-001                 -2.1006508629916332E-001                 -1.9527614448658319E+000                 -4.7413591338351409E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7502556435680936E+000                 -1.4725730127229400E-001                 -5.1486776907837324E-002                  4.5410411812538927E+000                  0.0000000000000000E+000                  1.7161713579893661E+001                  1.9021096847221484E+000                  7.1269893604609340E+000                  6.1606213370768814E-001                  8.5523883039452298E-001                  1.2832757423432888E+000                  7.1046883243754666E-001                  2.7055848604622895E-001                  7.5013132175499799E-004                  8.6620301969850145E-003                  3.1572114557257866E-003                  8.6631860849024495E-003                  7.1070894944461882E-001                  2.7056428678416278E-001                                        0                                        5                  9.9999999999999995E-008                  1.2643079731556078E-007 
                                       5                                     1626                  2.2369600000000000E+006                  6.0210900204132241E+000                  9.9997243263689017E-001                  3.3298493894411315E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7001805340678282E-001                  2.2513960743373751E-002                  6.0229876285786205E-007                  9.9999999998356237E-001                  9.7001805340678282E-001                  2.2513960743373751E-002                  6.0229876285786205E-007                 -1.8436578416523339E-001                 -4.7352416203190998E+001                 -1.0074787088219784E+001                 -1.8436578410933968E-001                 -1.9261232859105973E-001                 -1.9099948402277243E+000                 -4.7352416203190998E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7507291545592287E+000                 -1.4554409365294158E-001                 -5.1577195080432042E-002                  4.5412220175990816E+000                  0.0000000000000000E+000                  1.7166677699051412E+001                  1.9060556860996427E+000                  7.1280057886063313E+000                  6.1610414243455747E-001                  8.5519348110250537E-001                  1.2833881915404608E+000                  7.1038078095229806E-001                  2.7063995971818450E-001                  6.8902308277112695E-004                  8.6621773740071639E-003                  3.1571496382304461E-003                  8.6630253615597452E-003                  7.1070113860648298E-001                  2.7057020891802225E-001                                        0                                        5                  9.9999999999999995E-008                  1.2643079731556078E-007 
                                       6                                     1612                  4.1265280000000000E+006                  6.2763625255165296E+000                  9.9997243263689017E-001                  3.3298493894411315E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7038728199382918E-001                  1.8877630448230015E-002                  6.2457545443751795E-007                  9.9999999998356237E-001                  9.7038728199382918E-001                  1.8877630448230015E-002                  6.2457545443751795E-007                 -1.6636362481633898E-001                 -4.7276340256552878E+001                 -1.0035831499074964E+001                 -1.6636362475768243E-001                 -1.7542134061372458E-001                 -1.8516502330614417E+000                 -4.7276340256552878E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7513578078408445E+000                 -1.4360605184233330E-001                 -5.1865480738358415E-002                  4.5417985889149346E+000                  0.0000000000000000E+000                  1.7170831406682950E+001                  1.9089148947106440E+000                  7.1293359792864290E+000                  6.1618112295703931E-001                  8.5511192932999225E-001                  1.2835939794498279E+000                  7.1021954402160259E-001                  2.7078679627310770E-001                  5.8913491320297000E-004                  8.6624300954838158E-003                  3.1570372945389511E-003                  8.6627320702384620E-003                  7.1068697562304972E-001                  2.7058153180405942E-001                                        0                                        5                  9.9999999999999995E-008                  1.2643079731556078E-007 
                                       7                                     1600                  7.5277504000000004E+006                  6.5316350306198361E+000                  9.9997243263689017E-001                  3.3298493894411315E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7092361899245949E-001                  1.5671131888415846E-002                  6.8706808141800589E-007                  9.9999999998356237E-001                  9.7092361899245949E-001                  1.5671131888415846E-002                  6.8706808141800589E-007                 -1.5465683000393826E-001                 -4.7217195130378173E+001                 -1.0005860491107381E+001                 -1.5465682994276234E-001                 -1.6442953663787979E-001                 -1.8073034698178418E+000                 -4.7217195130378173E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7515842845943643E+000                 -1.4517749593372534E-001                 -5.3104156291094592E-002                  4.5442759400204071E+000                  0.0000000000000000E+000                  1.7172946966039980E+001                  1.9100654626815372E+000                  7.1303944412747766E+000                  6.1631829316036424E-001                  8.5496825497933282E-001                  1.2839597946728922E+000                  7.0993194202663956E-001                  2.7105029014722082E-001                  4.4722756080550606E-004                  8.6628523922580129E-003                  3.1568327830503533E-003                  8.6621971100612483E-003                  7.1066131088889994E-001                  2.7060267729007509E-001                                        0                                        5                  9.9999999999999995E-008                  1.2643079731556078E-007 
                                       8                                     1591                  1.3649950720000001E+007                  6.7869075357231416E+000                  9.9997243263689017E-001                  3.3298493894411315E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7124313449553512E-001                  1.3331105118075059E-002                  1.0564148428118163E-006                  9.9999999998356237E-001                  9.7124313449553512E-001                  1.3331105118075059E-002                  1.0564148428118163E-006                 -1.5061498844001431E-001                 -4.7198858084011384E+001                 -9.9967254300715425E+000                 -1.5061498837811671E-001                 -1.6032584145395615E-001                 -1.8059882984056892E+000                 -4.7198858084011384E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7514112850497323E+000                 -1.4845265879970346E-001                 -5.4395738634819266E-002                  4.5468591047078561E+000                  0.0000000000000000E+000                  1.7173604706430794E+001                  1.9106033502990838E+000                  7.1306798058431138E+000                  6.1655531429619170E-001                  8.5472035524210499E-001                  1.2845891219231103E+000                  7.0943345209008191E-001                  2.7151799002068255E-001                  2.8538845822606335E-004                  8.6635360320570978E-003                  3.1564606181877486E-003                  8.6612267154208573E-003                  7.1061510353569379E-001                  2.7064127459824305E-001                                        0                                        5                  9.9999999999999995E-008                  1.2643079731556078E-007 
                                       9                                     1595                  2.3649950719999999E+007                  7.0000000000000000E+000                  9.9997243263689017E-001                  3.3298493894411315E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7124408125057216E-001                  1.0675954656129194E-002                  1.1707165155486539E-006                  9.9999999998356237E-001                  9.7124408125057216E-001                  1.0675954656129194E-002                  1.1707165155486539E-006                 -1.4971322913537599E-001                 -4.7205787307495996E+001                 -1.0000294666049262E+001                 -1.4971322907411233E-001                 -1.5853624232899419E-001                 -1.8462846498181735E+000                 -4.7205787307495996E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7513057942985992E+000                 -1.4948819811126571E-001                 -5.4702526788333539E-002                  4.5474726810148844E+000                  0.0000000000000000E+000                  1.7174313504506486E+001                  1.9118189221006228E+000                  7.1304217045668539E+000                  6.1692372688566754E-001                  8.5433340858306450E-001                  1.2855628624659867E+000                  7.0865620760983983E-001                  2.7226763768728668E-001                  1.5229462285977946E-004                  8.6645079028271985E-003                  3.1558523380541309E-003                  8.6596439408966556E-003                  7.1054003854687986E-001                  2.7070481868782131E-001                                        0                                        6                  9.9999999999999995E-008                  1.2643079731556078E-007 
