                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20240629"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                screened_rate_r_b8_gp_be7            screened_rate_r_b8_wk_he4_he4                screened_rate_r_be7_pg_b8               screened_rate_r_be7_wk_li7               screened_rate_r_c12_ag_o16               screened_rate_r_c12_ap_n15               screened_rate_r_c12_pg_n13               screened_rate_r_c13_pg_n14              screened_rate_r_f17_ap_ne20               screened_rate_r_f17_gp_o16               screened_rate_r_f17_pa_o14              screened_rate_r_f17_pg_ne18               screened_rate_r_f17_wk_o17               screened_rate_r_f18_gp_o17               screened_rate_r_f18_pa_o15              screened_rate_r_f18_pg_ne19               screened_rate_r_f18_wk_o18               screened_rate_r_f19_gp_o18               screened_rate_r_f19_pa_o16              screened_rate_r_f19_pg_ne20              screened_rate_r_h1_h1_ec_h2              screened_rate_r_h1_h1_wk_h2            screened_rate_r_h1_he3_wk_he4     screened_rate_r_h2_be7_to_h1_he4_he4             screened_rate_r_h2_h2_to_he4         screened_rate_r_h2_he3_to_h1_he4                screened_rate_r_h2_pg_he3               screened_rate_r_he3_ag_be7 screened_rate_r_he3_be7_to_h1_h1_he4_he4     screened_rate_r_he3_he3_to_h1_h1_he4       screened_rate_r_he4_he4_he4_to_c12               screened_rate_r_li7_pa_he4             screened_rate_r_mg22_ga_ne18               screened_rate_r_n13_ap_o16               screened_rate_r_n13_gp_c12               screened_rate_r_n13_pg_o14               screened_rate_r_n13_wk_c13               screened_rate_r_n14_ag_f18               screened_rate_r_n14_ap_o17               screened_rate_r_n14_gp_c13               screened_rate_r_n14_pg_o15               screened_rate_r_n15_ag_f19               screened_rate_r_n15_ap_o18               screened_rate_r_n15_pa_c12               screened_rate_r_n15_pg_o16             screened_rate_r_ne18_ag_mg22              screened_rate_r_ne18_gp_f17              screened_rate_r_ne18_wk_f18              screened_rate_r_ne19_ga_o15              screened_rate_r_ne19_gp_f18              screened_rate_r_ne19_wk_f19             screened_rate_r_ne20_ag_mg24              screened_rate_r_ne20_gp_f19              screened_rate_r_o14_ag_ne18               screened_rate_r_o14_ap_f17               screened_rate_r_o14_gp_n13               screened_rate_r_o14_wk_n14              screened_rate_r_o15_ag_ne19               screened_rate_r_o15_ap_f18               screened_rate_r_o15_gp_n14               screened_rate_r_o15_wk_n15              screened_rate_r_o16_ag_ne20               screened_rate_r_o16_ap_f19               screened_rate_r_o16_gp_n15               screened_rate_r_o16_pg_f17               screened_rate_r_o17_pa_n14               screened_rate_r_o17_pg_f18               screened_rate_r_o18_pa_n15               screened_rate_r_o18_pg_f19                 screened_rate_rc12ap_aux                 screened_rate_rn14pg_aux                screened_rate_rna23pa_aux                screened_rate_rna23pg_aux            screened_rate_rne18ap_to_mg22            screened_rate_rne19pg_to_mg22                screened_rate_rne20ap_aux            screened_rate_rne20ap_to_mg24            screened_rate_rne20pg_to_mg22                 screened_rate_ro16gp_aux                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                                center_h2                               center_he3                               center_he4                               center_li7                               center_be7                                center_b8                               center_c12                               center_c13                               center_n13                               center_n14                               center_n15                               center_o14                               center_o15                               center_o16                               center_o17                               center_o18                               center_f17                               center_f18                               center_f19                              center_ne18                              center_ne19                              center_ne20                              center_mg22                              center_mg24                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                     1689                  1.0000000000000000E+005                  5.0000000000000000E+000                  9.9997243263689017E-001                  3.3298493894411315E+001                 -9.8999999999999986E+001                  1.6807879988671584E-004                  3.6517581512298114E-002                  1.2881526456761695E-002                  1.0008602678529155E-001                  7.8061965205140124E-002                  3.6517581512298114E-002                  1.2881526456761695E-002                  1.0008602678529155E-001                  7.8061965205140124E-002                 -2.2965972357519929E-001                 -4.7491739277479418E+001                 -1.0145900188943013E+001                 -2.2965972352253164E-001                 -2.3765767139378199E-001                 -1.9684583054080729E+000                 -4.7491739277479418E+001                  4.2212252151547678E-026                  1.8199331177959560E+032                  1.8199331177965955E+032                  1.4258882510333708E+036                  8.7829612149735870E-004                  0.0000000000000000E+000                  4.7165399539184375E+036                  5.9618255031390807E+035                  2.1813763072154519E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1189366626978236E+013                  4.9043529954124097E+032                  0.0000000000000000E+000                  8.2831891542087424E+016                  6.0467622671871406E+013                  1.0596340646376707E+029                  0.0000000000000000E+000                  2.9128726195464773E+024                  7.5171430739363299E+020                  2.3402591378843903E+035                  1.1925693908159904E+038                  1.4600632470544046E+031                  3.0937543805741069E+017                  4.0765189245334592E+017                  3.5120882669814907E+034                  1.1945584275232028E+038                  1.4260734990829805E+036                  7.5590852557479412E+014                  4.3406452806241196E+037                  1.0585329146598746E-009                  1.4258882348919473E+036                  0.0000000000000000E+000                  7.1430791996382732E-008                  0.0000000000000000E+000                  8.8255367980425088E+021                  4.7165399526290118E+036                  2.4619939055810225E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8191307281812272E+034                  1.0319360639846041E-005                  0.0000000000000000E+000                  9.0578464713780007E+035                  4.2280293396928592E+032                  3.0985421956422153E-056                  0.0000000000000000E+000                  1.1231440346421648E+013                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0530910665941570E+013                  3.1842753363640289E-021                  0.0000000000000000E+000                  1.1288338067298903E-035                  5.0513290404435319E-031                  0.0000000000000000E+000                  8.8255367977576841E+021                  1.9229590531311268E-023                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8191307279682291E+034                  2.1750613874782670E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9043529955945850E+032                  1.7874202251021426E+029                  1.0596340679044232E+029                  7.8720441944801960E+033                  1.2359145598348679E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0354051059252009E-058                  5.4611516753458666E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1524217279608960E+028                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7510758533223187E+000                 -1.3823075381239491E-001                 -4.8613922686338268E-002                  4.5352954728108941E+000                  0.0000000000000000E+000                  1.7152306502721704E+001                  1.8939460511940194E+000                  7.1257874246383599E+000                  6.1602181009739410E-001                  8.5528540765429617E-001                  1.2831661321328702E+000                  7.1055353637157637E-001                  6.0143282939927698E-018                  6.9180492943276420E-005                  2.7046592368548278E-001                  1.2680167667152661E-015                  2.3091862606952135E-012                  1.4303017798785128E-022                  8.1406969471682232E-004                  3.9494565433481136E-005                  1.7988535575116994E-015                  3.6617441604821664E-003                  2.7102780348024746E-006                  1.5710241596307878E-030                  5.4628127272854831E-018                  8.6618670903670630E-003                  3.7825432337979942E-006                  2.1059952063781947E-005                  4.5200621675008597E-020                  1.0464848829007874E-021                  3.2749529746143547E-011                  7.7206825445905917E-041                  5.5272360110112966E-039                  1.9308648583866415E-003                  9.8212388966378229E-014                  3.7757662721190420E-003                  3.1572506417536866E-003                  8.6632985853192460E-003                  7.1071698560904106E-001                  2.7055867347040480E-001                                        0                                        7 
                                       2                                     1628                  2.8000000000000000E+005                  5.2552725051033056E+000                  9.9997243263689017E-001                  3.3298493894411315E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7067862118622017E-001                  2.8282198795965274E-002                  4.7732689701963562E-007                  9.9999999998356237E-001                  9.7067862118622017E-001                  2.8282198795965274E-002                  4.7732689701963562E-007                 -2.2393167774078040E-001                 -4.7476406004375448E+001                 -1.0138361068237140E+001                 -2.2393167768789268E-001                 -2.3175007263941771E-001                 -1.9725017194965617E+000                 -4.7476406004375448E+001                  2.6315137479354491E-026                  1.7173138363667998E+032                  1.7173138363667814E+032                  1.4516977031951740E+036                  9.1783533174302420E-004                  0.0000000000000000E+000                  4.7690469931035973E+036                  6.5350531028654028E+035                  2.3005659795057043E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1561635970125711E+013                  4.9821137736558018E+032                  0.0000000000000000E+000                  8.6269624916087824E+016                  6.2976743777020977E+013                  1.0766483909040258E+029                  0.0000000000000000E+000                  6.8570092428080758E+024                  1.7698340643568322E+021                  2.3626804622518596E+035                  1.2000755076885702E+038                  1.4814736254265529E+031                  2.8715010216346669E+017                  4.1010650633141805E+017                  3.5657795419306033E+034                  1.2020816103076225E+038                  1.4518694650496805E+036                  6.4839758697997350E+014                  4.4449790879707213E+037                  1.0965732309681924E-009                  1.4516977030645197E+036                  0.0000000000000000E+000                  7.4661307899652114E-008                  0.0000000000000000E+000                  9.0805115640880877E+021                  4.7690469930956106E+036                  2.5389787172123198E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8764752558959793E+034                  8.3358921079902878E-006                  0.0000000000000000E+000                  7.3316383576242644E+035                  3.4233830871732821E+032                  3.3299727690528885E-056                  0.0000000000000000E+000                  1.1561635970106607E+013                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2976743776880945E+013                  3.3094386969919438E-021                  0.0000000000000000E+000                  1.2010565314049300E-035                  5.3720238103082744E-031                  0.0000000000000000E+000                  9.0805115640834918E+021                  2.0209915123064663E-023                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8764752558941937E+034                  2.2486832018813825E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9821137736660714E+032                  1.8164905248637775E+029                  1.0766483909376378E+029                  7.9804667006285411E+033                  1.2524349086278293E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2640244044052397E-058                  5.7289497275158281E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1900884465232525E+028                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7505425896387981E+000                 -1.4284104162044081E-001                 -4.9852539223319711E-002                  4.5377727058848567E+000                  0.0000000000000000E+000                  1.7154305989029549E+001                  1.8956993935215773E+000                  7.1260227042200421E+000                  6.1602777649984963E-001                  8.5527773079265990E-001                  1.2831829014151030E+000                  7.1054097045123754E-001                  6.0125747008969033E-018                  6.2704326685759812E-005                  2.7048406796141405E-001                  1.1678555350453514E-015                  2.1852152438461857E-012                  1.3696194830800010E-022                  8.0415289842244802E-004                  4.8900235046316275E-005                  1.8384516656933352E-015                  3.6644949578840689E-003                  1.3564840920506409E-006                  1.6487563857771172E-030                  5.6216532736887550E-018                  8.6618956028398624E-003                  3.7853520539792923E-006                  2.1020822418082450E-005                  4.6416071057865549E-020                  1.1031137470963452E-021                  9.4355749767599497E-011                  8.0689584562341710E-041                  5.9793851174179672E-039                  1.9308712470678788E-003                  2.8605537469763242E-013                  3.7757795640081231E-003                  3.1572600420435842E-003                  8.6633114606318763E-003                  7.1071566013705090E-001                  2.7055955919016117E-001                                        0                                        5 
                                       3                                     1627                  6.0400000000000000E+005                  5.5105450102066120E+000                  9.9997243263689017E-001                  3.3298493894411315E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7022571690034543E-001                  2.8574404396334852E-002                  4.9179293836880778E-007                  9.9999999998356237E-001                  9.7022571690034543E-001                  2.8574404396334852E-002                  4.9179293836880778E-007                 -2.1562649956178984E-001                 -4.7452693072307824E+001                 -1.0126375995563819E+001                 -2.1562649950845209E-001                 -2.2331784380471442E-001                 -1.9712485578467918E+000                 -4.7452693072307824E+001                  2.9618933494393509E-026                  1.7594530257204293E+032                  1.7594530257204297E+032                  1.4856936358145324E+036                  9.7721879518265190E-004                  0.0000000000000000E+000                  4.8505008696967120E+036                  7.6469645720782208E+035                  2.4941982917580679E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2151067005954279E+013                  5.1092068603791243E+032                  0.0000000000000000E+000                  9.1117272871358368E+016                  6.6514532382376820E+013                  1.1045807706705042E+029                  0.0000000000000000E+000                  1.5462369969699780E+025                  3.9908585838618959E+021                  2.3983900459999730E+035                  1.2120700977273638E+038                  1.5145863125119575E+031                  2.9422772406817248E+017                  4.1413984116040678E+017                  3.6486347736675002E+034                  1.2141036242960079E+038                  1.4858696043332428E+036                  6.5593588279688625E+014                  4.5911539613921488E+037                  1.1581120274362635E-009                  1.4856936358130360E+036                  0.0000000000000000E+000                  7.9179090825049047E-008                  0.0000000000000000E+000                  9.4110060693586811E+021                  4.8505008696898575E+036                  2.6635244635874632E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9704343436735123E+034                  5.1884658060315590E-006                  0.0000000000000000E+000                  5.2055551979230751E+035                  2.4328696060761951E+032                  3.7169341693833000E-056                  0.0000000000000000E+000                  1.2151067005898729E+013                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6514532381988781E+013                  3.5120230079120109E-021                  0.0000000000000000E+000                  1.3094409758820663E-035                  5.8523769805582328E-031                  0.0000000000000000E+000                  9.4110060693554222E+021                  2.1787917691798794E-023                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9704343436719107E+034                  2.3673061717443071E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1092068604059326E+032                  1.8641871901928893E+029                  1.1045807707080505E+029                  8.1565346409340135E+033                  1.2793340554925660E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6366199396512150E-058                  6.2189467185051085E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2513828093581302E+028                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7502181621445607E+000                 -1.4622639080915006E-001                 -5.0896358829199628E-002                  4.5398603450966171E+000                  0.0000000000000000E+000                  1.7157394081250917E+001                  1.8984171181428255E+000                  7.1263778804376630E+000                  6.1603959142661613E-001                  8.5526388046596669E-001                  1.2832151271199859E+000                  7.1051614099278948E-001                  6.0098650453035638E-018                  5.7422638398640477E-005                  2.7051211557006299E-001                  1.0750513891884806E-015                  2.0412831577429721E-012                  1.3022744212029546E-022                  7.8504301918006934E-004                  6.4128926597966670E-005                  1.8344198528274167E-015                  3.6712191057283270E-003                  5.5945161038435688E-007                  1.6844514565419864E-030                  5.7663383936977717E-018                  8.6619449544514376E-003                  3.7905359614160413E-006                  2.0948993347787923E-005                  4.7603559428968821E-020                  1.1329779584431863E-021                  2.0731959069290906E-010                  8.4882161065670580E-041                  6.3349117040496161E-039                  1.9308825284364147E-003                  6.3369109421063279E-013                  3.7758030734374838E-003                  3.1572453391452257E-003                  8.6632741294260032E-003                  7.1071326831889425E-001                  2.7056119734549805E-001                                        0                                        5 
                                       4                                     1621                  1.1872000000000000E+006                  5.7658175153099176E+000                  9.9997243263689017E-001                  3.3298493894411315E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.6997941083109629E-001                  2.5773434021095165E-002                  5.6387830398564764E-007                  9.9999999998356237E-001                  9.6997941083109629E-001                  2.5773434021095165E-002                  5.6387830398564764E-007                 -2.0228131167482011E-001                 -4.7413591338351409E+001                 -1.0106299637579642E+001                 -2.0228131162064922E-001                 -2.1006508629916332E-001                 -1.9527614448658319E+000                 -4.7413591338351409E+001                  3.8407222841608242E-026                  1.8700038859217317E+032                  1.8700038859217451E+032                  1.5431343468430743E+036                  1.0827264201964497E-003                  0.0000000000000000E+000                  4.9807937767267015E+036                  9.6680929152508051E+035                  2.8531731511043710E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3183728622672990E+013                  5.3290397643281885E+032                  0.0000000000000000E+000                  1.0003872554046770E+017                  7.3025107388803469E+013                  1.1532093801981291E+029                  0.0000000000000000E+000                  3.2993627978802733E+025                  8.5153926773099452E+021                  2.4515281220943396E+035                  1.2303150232182226E+038                  1.5646089574366386E+031                  3.1386047707423130E+017                  4.2315466025627840E+017                  3.8065435404755514E+034                  1.2323858969862749E+038                  1.5433213694657406E+036                  6.9916886743169088E+014                  4.8319290677329797E+037                  1.2672208383689670E-009                  1.5431343469059580E+036                  0.0000000000000000E+000                  8.6965754354527685E-008                  0.0000000000000000E+000                  9.9438091698888759E+021                  4.9807937767205647E+036                  2.8886736341418546E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1335059890730250E+034                  2.7060310711943083E-006                  0.0000000000000000E+000                  3.4303168548995760E+035                  1.6054070649400507E+032                  4.4580468473126857E-056                  0.0000000000000000E+000                  1.3183728622580771E+013                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3025107388156719E+013                  3.8822628171240971E-021                  0.0000000000000000E+000                  1.5043976794111226E-035                  6.7149767777572868E-031                  0.0000000000000000E+000                  9.9438091698858665E+021                  2.4698940752929038E-023                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1335059890714442E+034                  2.5816154364019422E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3290397643703587E+032                  1.9472650636009113E+029                  1.1532093802409746E+029                  8.4561736371889252E+033                  1.3254128628651568E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3168594819390915E-058                  7.1509544972242723E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3579143105409181E+028                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7502556435680936E+000                 -1.4725730127229400E-001                 -5.1486776907837324E-002                  4.5410411812538927E+000                  0.0000000000000000E+000                  1.7161713579893661E+001                  1.9021096847221484E+000                  7.1269893604609340E+000                  6.1606213370768814E-001                  8.5523883039452298E-001                  1.2832757423432888E+000                  7.1046883243754666E-001                  6.0049152017947633E-018                  5.4104674719159290E-005                  2.7055848604622895E-001                  1.0219788235149507E-015                  1.9863538245023904E-012                  1.3032990383469115E-022                  7.5013132175499799E-004                  8.6485589325155282E-005                  1.8154897728095150E-015                  3.6883060084568044E-003                  2.6076602264621805E-007                  1.7318257444368349E-030                  6.0178379138070588E-018                  8.6620301969850145E-003                  3.8002529263193475E-006                  2.0815669951802595E-005                  4.9591473649824140E-020                  1.1834874228322299E-021                  4.1659774020480346E-010                  9.2137180885641173E-041                  6.9622386584307691E-039                  1.9309022801297265E-003                  1.2883351522835363E-012                  3.7758443360772602E-003                  3.1572114557257866E-003                  8.6631860849024495E-003                  7.1070894944461882E-001                  2.7056428678416278E-001                                        0                                        5 
                                       5                                     1626                  2.2369600000000000E+006                  6.0210900204132241E+000                  9.9997243263689017E-001                  3.3298493894411315E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7001805340678282E-001                  2.2513960743373751E-002                  6.0229876285786205E-007                  9.9999999998356237E-001                  9.7001805340678282E-001                  2.2513960743373751E-002                  6.0229876285786205E-007                 -1.8436578416523339E-001                 -4.7352416203190998E+001                 -1.0074787088219784E+001                 -1.8436578410933968E-001                 -1.9261232859105973E-001                 -1.9099948402277243E+000                 -4.7352416203190998E+001                  5.8779004128329163E-026                  2.0508306482215168E+032                  2.0508306482215107E+032                  1.6273927140712054E+036                  1.2686090377461289E-003                  0.0000000000000000E+000                  5.1620035365398777E+036                  1.3201824596610855E+036                  3.5323868512335253E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4958860804155221E+013                  5.6908948600190175E+032                  0.0000000000000000E+000                  1.1579786926896800E+017                  8.4524967161031188E+013                  1.2336250770602418E+029                  0.0000000000000000E+000                  7.0651147759860923E+025                  1.8233404694565845E+022                  2.5198483761739777E+035                  1.2549426638839521E+038                  1.6287868743313760E+031                  3.4645430805806854E+017                  4.3340776247820058E+017                  3.9882968105737158E+034                  1.2570636825790730E+038                  1.6275978154033855E+036                  7.7819383039489112E+014                  5.1609828218458278E+037                  1.4589064389413210E-009                  1.6273927140509096E+036                  0.0000000000000000E+000                  9.9898997107085971E-008                  0.0000000000000000E+000                  1.0726679982868231E+022                  5.1620035365351700E+036                  3.2978041955875347E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4055557076371022E+034                  1.4502016771971551E-006                  0.0000000000000000E+000                  2.2942232840453908E+035                  1.0750803042844380E+032                  5.9352581926554033E-056                  0.0000000000000000E+000                  1.4958860804136670E+013                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4524967160892172E+013                  4.5663712628752607E-021                  0.0000000000000000E+000                  1.8509825346288196E-035                  8.2442088459561172E-031                  0.0000000000000000E+000                  1.0726679982865883E+022                  3.0176176371656416E-023                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4055557076356864E+034                  2.9696272589571308E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6908948600277941E+032                  2.0849320114292398E+029                  1.2336250770880549E+029                  8.9328701054326270E+033                  1.3980694146711024E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5697472595967206E-058                  8.8859064381211452E-011                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5353844164139615E+028                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7507291545592287E+000                 -1.4554409365294158E-001                 -5.1577195080432042E-002                  4.5412220175990816E+000                  0.0000000000000000E+000                  1.7166677699051412E+001                  1.9060556860996427E+000                  7.1280057886063313E+000                  6.1610414243455747E-001                  8.5519348110250537E-001                  1.2833881915404608E+000                  7.1038078095229806E-001                  5.9964055696439367E-018                  5.2256505462480339E-005                  2.7063995971818450E-001                  1.0016886545095699E-015                  2.0154998174344150E-012                  1.3780927251493728E-022                  6.8902308277112695E-004                  1.1329317146975284E-004                  1.7579898947579842E-015                  3.7310752978266903E-003                  1.9571743147241903E-007                  1.7765516289916949E-030                  6.4484260055639969E-018                  8.6621773740071639E-003                  3.8188576491557490E-006                  2.0564950759059567E-005                  5.2777344889142700E-020                  1.2659946017700910E-021                  8.0892353867602597E-010                  1.0438102240376388E-040                  8.0563493528457570E-039                  1.9309368313043180E-003                  2.5510743444794241E-012                  3.7759167273433906E-003                  3.1571496382304461E-003                  8.6630253615597452E-003                  7.1070113860648298E-001                  2.7057020891802225E-001                                        0                                        5 
