                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.3294337435295674E-004   0.8263179703558994E+003   0.0000000000000000E+000                         0                         0                         5                         5
  0.1267935055809679E-004   0.9738747450074328E+003   0.0000000000000000E+000                         0                         0                         6                         6
  0.5380900386948203E-005   0.1119460649249562E+004   0.0000000000000000E+000                         0                         0                         7                         7
  0.2322355688206353E-005   0.1265126707387634E+004   0.0000000000000000E+000                         0                         0                         8                         8
  0.1031345346705042E-005   0.1409343736687089E+004   0.0000000000000000E+000                         0                         0                         9                         9
  0.4616443975443046E-006   0.1550463222449752E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.2221011299650026E-006   0.1688978310737530E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.1219522561860499E-006   0.1824624513422094E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.7470835962839932E-007   0.1960228089644824E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.4907358516520776E-007   0.2096555648098624E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.3304630722857866E-007   0.2232285075353886E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.2325090449023682E-007   0.2367306727124811E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.1783204554043302E-007   0.2501468607861437E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.1470852002818451E-007   0.2635956143350943E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.1274704772411331E-007   0.2771601774590618E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.1129331897661417E-007   0.2907585645926616E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.1014435741312878E-007   0.3043895438458333E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.9386962114516898E-008   0.3180288314986442E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.8914000291973415E-008   0.3316774991294264E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.8658791920110421E-008   0.3453904435709891E+004   0.0000000000000000E+000                         0                         0                        24                        24
  0.8550098136143924E-008   0.3591269386646642E+004   0.0000000000000000E+000                         0                         0                        25                        25
  0.8505797786065079E-008   0.3728956081754450E+004   0.0000000000000000E+000                         0                         0                        26                        26
  0.8570697986594804E-008   0.3866938160801493E+004   0.0000000000000000E+000                         0                         0                        27                        27
