                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20241109"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                                   M_core                                      R_B 
                                       1                                     1586                  1.0000000000000000E+005                  5.0000000000000000E+000                  9.9997243263689017E-001                  3.3298493933498897E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.0150206509066746E-002                  1.9537565811782874E-003                  9.8581037509884406E-001                  9.8067000199684884E-001                  3.0150206509066746E-002                  1.9537565811782874E-003                  9.8581037509884406E-001                  9.8067000199684884E-001                 -2.3641394711483010E-001                 -4.7493994009387642E+001                 -1.0146712582538294E+001                 -2.3641394706143692E-001                 -2.4430348606834562E-001                 -1.9810854312932391E+000                 -4.7493994009387642E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7511083137006853E+000                 -1.3800116298072884E-001                 -4.8564048027238932E-002                  4.5351957234926958E+000                  0.0000000000000000E+000                  1.7152405817012806E+001                  1.8941053436463855E+000                  7.1257424434279830E+000                  6.1604511365737369E-001                  8.5526065425039399E-001                  1.2832317396006985E+000                  7.1050674048421225E-001                  2.7050361358565900E-001                  7.3871028718719065E-004                  8.6640166473684367E-003                  3.1575873493689894E-003                  8.6642170058092265E-003                  7.1070553297753503E-001                  2.7056827363722236E-001                                        0                                        8                  1.0000000000000000E-008                  1.2643062854634880E-008 
                                       2                                     1568                  2.8000000000000000E+005                  5.2552725051033056E+000                  9.9997243263689017E-001                  3.3298493933498897E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7071127835874405E-001                  2.6882259232517469E-002                  7.9713294057939239E-008                  9.9999999998356237E-001                  9.7071127835874405E-001                  2.6882259232517469E-002                  7.9713294057939239E-008                 -2.2900905566670654E-001                 -4.7482351864056731E+001                 -1.0140797356365393E+001                 -2.2900905561349619E-001                 -2.3665449249430706E-001                 -1.9872081731932438E+000                 -4.7482351864056731E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7505658918644875E+000                 -1.4269401726656555E-001                 -4.9825631497760543E-002                  4.5377188904337382E+000                  0.0000000000000000E+000                  1.7154601301230869E+001                  1.8961351191034672E+000                  7.1258942074628449E+000                  6.1605115166508073E-001                  8.5525351474546774E-001                  1.2832481925250780E+000                  7.1049400336431034E-001                  2.7051856278871911E-001                  7.2985432875249056E-004                  8.6640288042137692E-003                  3.1575901802678693E-003                  8.6642166987658392E-003                  7.1070419657367057E-001                  2.7056913577820785E-001                                        0                                        5                  1.0000000000000000E-008                  1.2643062854634880E-008 
                                       3                                     1578                  6.0400000000000000E+005                  5.5105450102066120E+000                  9.9997243263689017E-001                  3.3298493933498897E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7024717246264147E-001                  2.5770169388321273E-002                  9.0490642965404277E-008                  9.9999999998356237E-001                  9.7024717246264147E-001                  2.5770169388321273E-002                  9.0490642965404277E-008                 -2.1847317058695268E-001                 -4.7461229066560001E+001                 -1.0129966117834453E+001                 -2.1847317053370616E-001                 -2.2593306770631935E-001                 -1.9872492532455133E+000                 -4.7461229066560001E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7502426984540436E+000                 -1.4608651728735011E-001                 -5.0875494687265044E-002                  4.5398186168127479E+000                  0.0000000000000000E+000                  1.7157903103970867E+001                  1.8991209226860439E+000                  7.1261917772598009E+000                  6.1606257319961144E-001                  8.5524058351867771E-001                  1.2832789634614912E+000                  7.1046997185948002E-001                  2.7054334947248931E-001                  7.1270017636973623E-004                  8.6640464470590390E-003                  3.1575712856162443E-003                  8.6641675612125595E-003                  7.1070179287514024E-001                  2.7057074961686833E-001                                        0                                        5                  1.0000000000000000E-008                  1.2643062854634880E-008 
                                       4                                     1584                  1.1872000000000000E+006                  5.7658175153099176E+000                  9.9997243263689017E-001                  3.3298493933498897E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.6999813166476856E-001                  2.3585673734413892E-002                  1.0536606396505829E-007                  9.9999999998356237E-001                  9.6999813166476856E-001                  2.3585673734413892E-002                  1.0536606396505829E-007                 -2.0302862401995012E-001                 -4.7422175052172861E+001                 -1.0109888981045424E+001                 -2.0302862396613258E-001                 -2.1052607115399591E-001                 -1.9696428537426176E+000                 -4.7422175052172861E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7502871376032503E+000                 -1.4706830801703491E-001                 -5.1455268350521735E-002                  4.5409781641392613E+000                  0.0000000000000000E+000                  1.7162338472114641E+001                  1.9029325592334720E+000                  7.1267979486233584E+000                  6.1608394206011374E-001                  8.5521709664711265E-001                  1.2833361932888561E+000                  7.1042508422752459E-001                  2.7058626285355464E-001                  6.8127841246533002E-004                  8.6640820187254657E-003                  3.1575372557282834E-003                  8.6640795759189947E-003                  7.1069746694333802E-001                  2.7057382776045175E-001                                        0                                        5                  1.0000000000000000E-008                  1.2643062854634880E-008 
                                       5                                     1573                  2.2369600000000000E+006                  6.0210900204132241E+000                  9.9997243263689017E-001                  3.3298493933498897E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7004363789902415E-001                  2.0413649945513757E-002                  1.1316455329094698E-007                  9.9999999998356237E-001                  9.7004363789902415E-001                  2.0413649945513757E-002                  1.1316455329094698E-007                 -1.8396836256577978E-001                 -4.7358712354786277E+001                 -1.0077304254921220E+001                 -1.8396836251025991E-001                 -1.9187440471079226E-001                 -1.9277405729903847E+000                 -4.7358712354786277E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7507648841609567E+000                 -1.4530661628173344E-001                 -5.1529915598283384E-002                  4.5411274586347847E+000                  0.0000000000000000E+000                  1.7167245121845060E+001                  1.9067749854805094E+000                  7.1278599451500444E+000                  6.1612351137598498E-001                  8.5517447685858594E-001                  1.2834419769430545E+000                  7.1034207601499177E-001                  2.7066309502586605E-001                  6.2615667076988213E-004                  8.6641414120312080E-003                  3.1574753676614871E-003                  8.6639176220448689E-003                  7.1068966089650720E-001                  2.7057976519300192E-001                                        0                                        4                  1.0000000000000000E-008                  1.2643062854634880E-008 
                                       6                                     1574                  4.1265280000000000E+006                  6.2763625255165296E+000                  9.9997243263689017E-001                  3.3298493933498897E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7041101244233363E-001                  1.7130830607717584E-002                  1.1707057299938661E-007                  9.9999999998356237E-001                  9.7041101244233363E-001                  1.7130830607717584E-002                  1.1707057299938661E-007                 -1.6585063383391799E-001                 -4.7280047701332443E+001                 -1.0037165665661165E+001                 -1.6585063377551040E-001                 -1.7450723210246868E-001                 -1.8706087913423544E+000                 -4.7280047701332443E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7513927268224840E+000                 -1.4336019379602105E-001                 -5.1812389678481091E-002                  4.5416924067951800E+000                  0.0000000000000000E+000                  1.7171254933517986E+001                  1.9094338653226308E+000                  7.1292454210896405E+000                  6.1619570783552613E-001                  8.5509797839807788E-001                  1.2836348390751733E+000                  7.1019073799149524E-001                  2.7080171601306757E-001                  5.3593780900043771E-004                  8.6641940297047387E-003                  3.1573630401741746E-003                  8.6636215110051339E-003                  7.1067551684389385E-001                  2.7059112872640684E-001                                        0                                        5                  1.0000000000000000E-008                  1.2643062854634880E-008 
                                       7                                     1569                  7.5277504000000004E+006                  6.5316350306198361E+000                  9.9997243263689017E-001                  3.3298493933498897E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7094687015497250E-001                  1.4254451975513616E-002                  1.2096114181249971E-007                  9.9999999998356237E-001                  9.7094687015497250E-001                  1.4254451975513616E-002                  1.2096114181249971E-007                 -1.5439954678425577E-001                 -4.7218790843694059E+001                 -1.0006256041039013E+001                 -1.5439954672317172E-001                 -1.6371934536987509E-001                 -1.8274288973792945E+000                 -4.7218790843694059E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7516177904942176E+000                 -1.4495855789393816E-001                 -5.3061699070906812E-002                  4.5441910255800311E+000                  0.0000000000000000E+000                  1.7173281815556791E+001                  1.9104446559641268E+000                  7.1303501794470723E+000                  6.1632383237219890E-001                  8.5496368111415455E-001                  1.2839763303725440E+000                  7.0992191824962825E-001                  2.7104929357086166E-001                  4.0782659581886025E-004                  8.6642588312170372E-003                  3.1571586097197575E-003                  8.6630887050226282E-003                  7.1064987924762213E-001                  2.7061232841692773E-001                                        0                                        5                  1.0000000000000000E-008                  1.2643062854634880E-008 
                                       8                                     1574                  1.3649950720000001E+007                  6.7869075357231416E+000                  9.9997243263689017E-001                  3.3298493933498897E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7126577933028624E-001                  1.1978994709583135E-002                  1.2844512597176468E-007                  9.9999999998356237E-001                  9.7126577933028624E-001                  1.1978994709583135E-002                  1.2844512597176468E-007                 -1.5047518263602166E-001                 -4.7199280033193446E+001                 -9.9964919643873387E+000                 -1.5047518257411072E-001                 -1.5973428361471531E-001                 -1.8263119988510301E+000                 -4.7199280033193446E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7514469993950521E+000                 -1.4825596065535196E-001                 -5.4368818253282936E-002                  4.5468052639447833E+000                  0.0000000000000000E+000                  1.7173945915474590E+001                  1.9109572749084991E+000                  7.1306561552783334E+000                  6.1654488065663948E-001                  8.5473234028121181E-001                  1.2845629886361838E+000                  7.0945681138224725E-001                  2.7148700189974290E-001                  2.6228516760532438E-004                  8.6643302245204053E-003                  3.1567864216118530E-003                  8.6621200768611448E-003                  7.1060369162187165E-001                  2.7065099383200047E-001                                        0                                        5                  1.0000000000000000E-008                  1.2643062854634880E-008 
                                       9                                     1575                  2.3649950719999999E+007                  7.0000000000000000E+000                  9.9997243263689017E-001                  3.3298493933498897E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.7127029626169914E-001                  9.4144642931903721E-003                  1.4187239025600025E-007                  9.9999999998356237E-001                  9.7127029626169914E-001                  9.4144642931903721E-003                  1.4187239025600025E-007                 -1.4956346186588701E-001                 -4.7205305926234672E+001                 -9.9995941718757830E+000                 -1.4956346180454563E-001                 -1.5800334381450376E-001                 -1.8652245080778755E+000                 -4.7205305926234672E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7513403456239147E+000                 -1.4932513963883287E-001                 -5.4690100202748365E-002                  4.5474478278437145E+000                  0.0000000000000000E+000                  1.7174635056848622E+001                  1.9121225502714503E+000                  7.1304124530119726E+000                  6.1688966895034281E-001                  8.5437005244440201E-001                  1.2854740492178538E+000                  7.0872922649557690E-001                  2.7218951353062654E-001                  1.4323895747843005E-004                  8.6644369939953645E-003                  3.1561772797871640E-003                  8.6605340738352479E-003                  7.1052862502728964E-001                  2.7071462655843936E-001                                        0                                        5                  1.0000000000000000E-008                  1.2643062854634880E-008 
