                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                   E_norm                  Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.3298088592564792E-004   0.8254062706457506E+003   0.0000000000000000E+000                         0                         0                         5                         5
  0.1268896040927455E-004   0.9727862940509248E+003   0.0000000000000000E+000                         0                         0                         6                         6
  0.5383711822231176E-005   0.1118212877851559E+004   0.0000000000000000E+000                         0                         0                         7                         7
  0.2322498671358595E-005   0.1263698634390559E+004   0.0000000000000000E+000                         0                         0                         8                         8
  0.1030737330962415E-005   0.1407748414892088E+004   0.0000000000000000E+000                         0                         0                         9                         9
  0.4613333784130014E-006   0.1548682898258220E+004   0.0000000000000000E+000                         0                         0                        10                        10
  0.2219882692876037E-006   0.1687016326230864E+004   0.0000000000000000E+000                         0                         0                        11                        11
  0.1219664024643134E-006   0.1822503471717559E+004   0.0000000000000000E+000                         0                         0                        12                        12
  0.7474545323179583E-007   0.1957947135983229E+004   0.0000000000000000E+000                         0                         0                        13                        13
  0.4908848135174508E-007   0.2094121966963737E+004   0.0000000000000000E+000                         0                         0                        14                        14
  0.3306158961067201E-007   0.2229684957217457E+004   0.0000000000000000E+000                         0                         0                        15                        15
  0.2326896194506797E-007   0.2364532848254104E+004   0.0000000000000000E+000                         0                         0                        16                        16
  0.1785932452256888E-007   0.2498543110016013E+004   0.0000000000000000E+000                         0                         0                        17                        17
  0.1473852821733711E-007   0.2632878055892798E+004   0.0000000000000000E+000                         0                         0                        18                        18
  0.1277385747848577E-007   0.2768374927639745E+004   0.0000000000000000E+000                         0                         0                        19                        19
  0.1131821040448349E-007   0.2904205853462211E+004   0.0000000000000000E+000                         0                         0                        20                        20
  0.1016796966462633E-007   0.3040350453031674E+004   0.0000000000000000E+000                         0                         0                        21                        21
  0.9411281422537154E-008   0.3176589394351759E+004   0.0000000000000000E+000                         0                         0                        22                        22
  0.8940354769313035E-008   0.3312919425870355E+004   0.0000000000000000E+000                         0                         0                        23                        23
  0.8685409175444534E-008   0.3449893377155849E+004   0.0000000000000000E+000                         0                         0                        24                        24
  0.8577237094567284E-008   0.3587106734296476E+004   0.0000000000000000E+000                         0                         0                        25                        25
  0.8534237098854643E-008   0.3724631757426203E+004   0.0000000000000000E+000                         0                         0                        26                        26
  0.8598812058537907E-008   0.3862458916026305E+004   0.0000000000000000E+000                         0                         0                        27                        27
  0.8733222707674457E-008   0.4000296909145753E+004   0.0000000000000000E+000                         0                         0                        28                        28
  0.8941858941430284E-008   0.4138394342112544E+004   0.0000000000000000E+000                         0                         0                        29                        29
  0.9266157010564401E-008   0.4276459024627081E+004   0.0000000000000000E+000                         0                         0                        30                        30
  0.9689199121664307E-008   0.4414500511212218E+004   0.0000000000000000E+000                         0                         0                        31                        31
  0.3881474251004840E+001   0.8173940819291853E+003   0.0000000000000000E+000                         1                        24                         4                       -20
  0.1201028000855770E+001   0.8558622373354980E+003   0.0000000000000000E+000                         1                        22                         5                       -17
  0.2116741142897394E-004   0.8937564281670067E+003   0.0000000000000000E+000                         1                        21                         5                       -16
  0.1198781991363027E-001   0.8982166312551925E+003   0.0000000000000000E+000                         1                        20                         4                       -16
  0.6036501296992587E+000   0.9450392260222039E+003   0.0000000000000000E+000                         1                        21                         5                       -16
  0.2721677647333844E+000   0.9970377120856639E+003   0.0000000000000000E+000                         1                        18                         6                       -12
  0.8446957716064802E-005   0.1039715616333009E+004   0.0000000000000000E+000                         1                        17                         6                       -11
  0.2598014131277625E-001   0.1055336022597339E+004   0.0000000000000000E+000                         1                        18                         5                       -13
  0.1260353469935920E+000   0.1120460263204855E+004   0.0000000000000000E+000                         1                        16                         7                        -9
  0.3654683862422615E-005   0.1185755493101199E+004   0.0000000000000000E+000                         1                        15                         7                        -8
  0.2415720403871688E-002   0.1194726432650735E+004   0.0000000000000000E+000                         1                        16                         6                       -10
  0.2480523115294623E-001   0.1279254749560224E+004   0.0000000000000000E+000                         1                        14                         8                        -6
  0.1603018280868248E-005   0.1329925067824861E+004   0.0000000000000000E+000                         1                        13                         8                        -5
  0.1002288845153785E-001   0.1376743505077305E+004   0.0000000000000000E+000                         1                        14                         9                        -5
  0.7052959439623139E-006   0.1473186202498380E+004   0.0000000000000000E+000                         1                        13                         9                        -4
  0.7516071829020855E-003   0.1490332973219940E+004   0.0000000000000000E+000                         1                        12                         8                        -4
  0.3268736388534363E-006   0.1612892184531799E+004   0.0000000000000000E+000                         1                        11                        10                        -1
  0.1131843744967018E-003   0.1623756994192760E+004   0.0000000000000000E+000                         1                        12                         9                        -3
  0.1648866666022767E-006   0.1749707386940960E+004   0.0000000000000000E+000                         1                        11                        11                         1
  0.3157429995670871E-003   0.1783290531896466E+004   0.0000000000000000E+000                         1                         9                        11                         3
  0.9583608390951120E-007   0.1885535957968540E+004   0.0000000000000000E+000                         1                         9                        12                         4
  0.1672237683478930E-003   0.1976218266488899E+004   0.0000000000000000E+000                         1                         9                        12                         4
  0.6123899992018159E-007   0.2021251889182847E+004   0.0000000000000000E+000                         1                         9                        13                         5
  0.4048686252505196E-007   0.2157636472909108E+004   0.0000000000000000E+000                         1                         9                        14                         6
  0.7225611809221172E-004   0.2218092072448891E+004   0.0000000000000000E+000                         1                         7                        14                         8
  0.2780928249067720E-007   0.2293245980984284E+004   0.0000000000000000E+000                         1                         7                        15                         9
  0.2028987603877908E-007   0.2427537427539136E+004   0.0000000000000000E+000                         1                         7                        16                        10
  0.1380063100675855E-004   0.2525288057106491E+004   0.0000000000000000E+000                         1                         7                        16                        10
  0.1614796242329644E-007   0.2562058384625919E+004   0.0000000000000000E+000                         1                         7                        17                        11
  0.1373018842197171E-007   0.2696985950314205E+004   0.0000000000000000E+000                         1                         7                        18                        12
  0.1200522426278523E-007   0.2832826117472771E+004   0.0000000000000000E+000                         1                         7                        19                        13
  0.4551401343501895E-005   0.2935952013568298E+004   0.0000000000000000E+000                         1                         5                        19                        15
  0.1073804770391506E-007   0.2969265335102245E+004   0.0000000000000000E+000                         1                         5                        20                        16
  0.9760080811310747E-008   0.3105379422513447E+004   0.0000000000000000E+000                         1                         5                        21                        17
  0.9130369061814815E-008   0.3241882542671861E+004   0.0000000000000000E+000                         1                         5                        22                        18
  0.8803042048639834E-008   0.3378632165991388E+004   0.0000000000000000E+000                         1                         5                        23                        19
  0.4026256420360356E-006   0.3502092408404302E+004   0.0000000000000000E+000                         1                         5                        23                        19
  0.8795785203060291E-008   0.3516094113049924E+004   0.0000000000000000E+000                         1                         5                        24                        20
  0.8538909112871319E-008   0.3653443030144928E+004   0.0000000000000000E+000                         1                         5                        25                        21
  0.8556501187140915E-008   0.3791098835477950E+004   0.0000000000000000E+000                         1                         5                        26                        22
