                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20241109"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                                   M_core                                      R_B 
                                       1                                     2402                  5.0000000000000000E+004                  4.6989700043360187E+000                  9.9997243263689017E-001                  3.3298059414083276E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  4.9513854641028310E-002                  3.6618670235258964E-002                  3.4368874253028148E-002                  2.4057854828945621E-002                  4.9513854641028310E-002                  3.6618670235258964E-002                  3.4368874253028148E-002                  2.4057854828945621E-002                 -1.9430125540036497E-001                 -4.7194382131537168E+001                 -1.0044997907784934E+001                 -1.9430125533911755E-001                 -2.0364884306338102E-001                 -1.8660514307649116E+000                 -4.7194382131537168E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9904379080428292E+030                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7521688426026869E+000                 -1.3350720537816832E-001                 -4.8438127029960275E-002                  4.5349438814981378E+000                  0.0000000000000000E+000                  1.7514835932860510E+001                  2.2287655772618331E+000                  7.1491419263928488E+000                  6.1671521776882776E-001                  8.5455297846320688E-001                  1.2849989424657238E+000                  7.0909234548591871E-001                  2.7184564637214603E-001                  9.9785255792046940E-004                  8.7177886077035409E-003                  3.1514914575279619E-003                  8.6474868798844199E-003                  7.1174115795058479E-001                  2.6858737899496027E-001                                        1                                       25                  1.0000000000000000E-003                  1.2643378158909125E-003 
                                       2                                     2019                  9.0000000000000000E+004                  4.6020599913279616E+000                  9.9997243263689017E-001                  3.3298059414083276E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.0829152093845125E-002                  9.7953551383636768E-004                  9.9999999998356237E-001                  9.7046906435832292E-001                  3.0829152093845125E-002                  9.7953551383636768E-004                  9.9999999998356237E-001                  9.7046906435832292E-001                 -1.9385578481965621E-001                 -4.7202142426481714E+001                 -1.0042968806020983E+001                 -1.9385578475818507E-001                 -2.0320069702753493E-001                 -1.8657289482838497E+000                 -4.7202142426481714E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9885127373415139E+030                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7518986572968243E+000                 -1.3564352186413667E-001                 -4.8965914661219731E-002                  4.5359994567606572E+000                  0.0000000000000000E+000                  1.7521611222865744E+001                  2.2440917211670293E+000                  7.1406380584453890E+000                  6.1760094124619447E-001                  8.5362033082344391E-001                  1.2873378097253425E+000                  7.0723009295967132E-001                  2.7362761448520673E-001                  9.8958041130120153E-004                  8.7553651112230301E-003                  3.1514981079428708E-003                  8.6474996528889542E-003                  7.1174086733817643E-001                  2.6858760347949862E-001                                        1                                        4                  1.0000000000000000E-003                  1.2643378158909125E-003 
                                       3                                     1863                  1.3000000000000000E+005                  4.6020599913279616E+000                  9.9997243263689017E-001                  3.3298059414083276E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.4368874253028148E-002                  1.1938514408373669E-003                  9.9999999998356237E-001                  9.7027505042743978E-001                  3.4368874253028148E-002                  1.1938514408373669E-003                  9.9999999998356237E-001                  9.7027505042743978E-001                 -1.9467493462128763E-001                 -4.7204415914292618E+001                 -1.0041110241356913E+001                 -1.9467493455943630E-001                 -2.0400840620209110E-001                 -1.8670744145215175E+000                 -4.7204415914292618E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7516733225600825E+000                 -1.3744139157382262E-001                 -4.9414180042578124E-002                  4.5368959875233736E+000                  0.0000000000000000E+000                  1.7524966207185237E+001                  2.2503983189374441E+000                  7.1380664540405432E+000                  6.1845064158638274E-001                  8.5272915516104408E-001                  1.2895820921413019E+000                  7.0544968446404088E-001                  2.7532664127993622E-001                  9.8210325406673858E-004                  8.7920363727710341E-003                  3.1514958055557014E-003                  8.6474937257537757E-003                  7.1174057580079797E-001                  2.6858782647930102E-001                                        1                                        4                  1.0000000000000000E-003                  1.2643378158909125E-003 
                                       4                                     1788                  2.0200000000000000E+005                  4.8573324964312681E+000                  9.9997243263689017E-001                  3.3298059414083276E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.5598993273526086E-002                  1.4808423364613293E-003                  9.9999999998356237E-001                  9.7007622657369319E-001                  3.5598993273526086E-002                  1.4808423364613293E-003                  9.9999999998356237E-001                  9.7007622657369319E-001                 -1.9608842346721958E-001                 -4.7205139008350869E+001                 -1.0038265339670238E+001                 -1.9608842340475879E-001                 -2.0540744923140300E-001                 -1.8691534033312995E+000                 -4.7205139008350869E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7513696844540512E+000                 -1.3992241044404308E-001                 -5.0047413265626561E-002                  4.5381624539694707E+000                  0.0000000000000000E+000                  1.7527107421775217E+001                  2.2551864084871989E+000                  7.1362927865100820E+000                  6.1991131271647271E-001                  8.5120482851733725E-001                  1.2934415191441606E+000                  7.0240318366791821E-001                  2.7822631651511143E-001                  9.6973070700534243E-004                  8.8565557548399981E-003                  3.1514916328736304E-003                  8.6474829532342118E-003                  7.1174004813729175E-001                  2.6858822334535376E-001                                        1                                        4                  1.0000000000000000E-003                  1.2643378158909125E-003 
                                       5                                     1736                  3.3160000000000000E+005                  5.1126050015345736E+000                  9.9997243263689017E-001                  3.3298059414083276E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.6212855153264473E-002                  1.9738792445560720E-003                  9.9999999998356237E-001                  9.6983239293185375E-001                  3.6212855153264473E-002                  1.9738792445560720E-003                  9.9999999998356237E-001                  9.6983239293185375E-001                 -1.9731545753430110E-001                 -4.7204285658121762E+001                 -1.0034331269901855E+001                 -1.9731545747109361E-001                 -2.0663971733402658E-001                 -1.8701391918122738E+000                 -4.7204285658121762E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7510169533709989E+000                 -1.4292610981353951E-001                 -5.0843800784270886E-002                  4.5397552290067589E+000                  0.0000000000000000E+000                  1.7529392094489797E+001                  2.2603200601440769E+000                  7.1350156306433812E+000                  6.2235128958559238E-001                  8.4867785782623983E-001                  1.2998963334474538E+000                  6.9735160750540615E-001                  2.8301765652060834E-001                  9.4890165364368067E-004                  8.9684250044599675E-003                  3.1514842044196799E-003                  8.6474636635419395E-003                  7.1173909121143109E-001                  2.6858892846177734E-001                                        1                                        5                  1.0000000000000000E-003                  1.2643378158909125E-003 
                                       6                                     1731                  5.6488000000000000E+005                  5.3678775066378801E+000                  9.9997243263689017E-001                  3.3298059414083276E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  3.5445228395964298E-002                  2.7444921189994117E-003                  9.9999999998356237E-001                  9.6956043859455632E-001                  3.5445228395964298E-002                  2.7444921189994117E-003                  9.9999999998356237E-001                  9.6956043859455632E-001                 -1.9696301611250275E-001                 -4.7201448926108121E+001                 -1.0029179689804218E+001                 -1.9696301604859293E-001                 -2.0636276901860451E-001                 -1.8663222896632019E+000                 -4.7201448926108121E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7506971320006679E+000                 -1.4589807122988380E-001                 -5.1690138751781141E-002                  4.5414479049417800E+000                  0.0000000000000000E+000                  1.7532024804123271E+001                  2.2664476650979131E+000                  7.1341230553204404E+000                  6.2627112589528278E-001                  8.4465418401651593E-001                  1.3103203620076753E+000                  6.8930690365812708E-001                  2.9061332461529099E-001                  9.1348781464690824E-004                  9.1590997831537645E-003                  3.1514708459170408E-003                  8.6474289667411077E-003                  7.1173735372987279E-001                  2.6859018682315350E-001                                        1                                        5                  1.0000000000000000E-003                  1.2643378158909125E-003 
                                       7                                     1715                  9.8478400000000000E+005                  5.6231500117411866E+000                  9.9997243263689017E-001                  3.3298059414083276E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.6932656607770218E-001                  3.2236598254173021E-002                  3.8756417170369051E-003                  9.9999999998356237E-001                  9.6932656607770218E-001                  3.2236598254173021E-002                  3.8756417170369051E-003                 -1.9270316244834917E-001                 -4.7194508819063323E+001                 -1.0021832994568260E+001                 -1.9270316238398350E-001                 -2.0234303103380066E-001                 -1.8512273790914047E+000                 -4.7194508819063323E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7505441161021711E+000                 -1.4787721404132997E-001                 -5.2373678360510649E-002                  4.5428149841592385E+000                  0.0000000000000000E+000                  1.7535720520836019E+001                  2.2746319698097772E+000                  7.1336619018533360E+000                  6.3228779430879467E-001                  8.3856365882774231E-001                  1.3264481318284702E+000                  6.7712863278073621E-001                  3.0203594727388411E-001                  8.5314475846661191E-004                  9.4773886463853357E-003                  3.1514467321569145E-003                  8.6473663148465361E-003                  7.1173420075723415E-001                  2.6859246751491583E-001                                        1                                        5                  1.0000000000000000E-003                  1.2643378158909125E-003 
                                       8                                     1701                  1.7406112000000000E+006                  5.8784225168444921E+000                  9.9997243263689017E-001                  3.3298059414083276E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.6922607686057005E-001                  2.7510733463579323E-002                  5.6478257473373036E-003                  9.9999999998356237E-001                  9.6922607686057005E-001                  2.7510733463579323E-002                  5.6478257473373036E-003                 -1.8289802693297272E-001                 -4.7178934993754574E+001                 -1.0010074033696919E+001                 -1.8289802686831680E-001                 -1.9303904107794326E-001                 -1.8196615902749729E+000                 -4.7178934993754574E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7506950012026121E+000                 -1.4789019868352957E-001                 -5.2681940882492270E-002                  4.5434315092032023E+000                  0.0000000000000000E+000                  1.7540230011259364E+001                  2.2851003428992920E+000                  7.1335880440974870E+000                  6.4108449958529035E-001                  8.2985592904679151E-001                  1.3502699750905054E+000                  6.5971523438774804E-001                  3.1820210647740271E-001                  7.5383763202868615E-004                  9.9967793452862101E-003                  3.1514030751528263E-003                  8.6472528483725278E-003                  7.1172849077464972E-001                  2.6859669855366369E-001                                        1                                        5                  1.0000000000000000E-003                  1.2643378158909125E-003 
                                       9                                     1674                  3.1011001600000001E+006                  6.1336950219477986E+000                  9.9997243263689017E-001                  3.3298059414083276E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999998356237E-001                  9.6935474733771532E-001                  2.0579844500605904E-002                  8.6692237650831793E-003                  9.9999999998356237E-001                  9.6935474733771532E-001                  2.0579844500605904E-002                  8.6692237650831793E-003                 -1.6922305448976693E-001                 -4.7155258818911207E+001                 -9.9935333517717098E+000                 -1.6922305442468297E-001                 -1.8010402333900527E-001                 -1.7757689243131698E+000                 -4.7155258818911207E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7511138249233174E+000                 -1.4640362814559035E-001                 -5.2776303054932736E-002                  4.5436202335480829E+000                  0.0000000000000000E+000                  1.7545142972057150E+001                  2.2979341921263270E+000                  7.1338236782595956E+000                  6.5338991255940737E-001                  8.1808894376783103E-001                  1.3839780148780814E+000                  6.3618129729340578E-001                  3.3972833045191780E-001                  6.0526565536188814E-004                  1.0824545304376295E-002                  3.1513238579110375E-003                  8.6470463108887004E-003                  7.1171817094837986E-001                  2.6860467570716345E-001                                        1                                        5                  1.0000000000000000E-003                  1.2643378158909125E-003 
